"","rok","sport","disciplina","medaile","stat","jmena","vysledek"
"783","1998","Freestyle Skiing","Moguls","bronz","FIN","Sami MUSTONEN","25.76"
"784","1998","Freestyle Skiing","Moguls","zlato","JPN","Tae SATOYA","25.06"
"785","1998","Freestyle Skiing","Moguls","stříbro","GER","Tatjana MITTERMAYER","24.62"
"786","1998","Freestyle Skiing","Moguls","bronz","NOR","Kari TRAA","24.09"
"787","1998","Freestyle Skiing","Aerials","zlato","USA","Eric BERGOUST","255.64"
"788","1998","Freestyle Skiing","Aerials","stříbro","FRA","Sebastien FOUCRAS","248.79"
"789","1998","Freestyle Skiing","Aerials","bronz","BLR","Dmitri DASHCHINSKY","240.79"
"790","1998","Freestyle Skiing","Aerials","zlato","USA","Nikki STONE","193.00"
"791","1998","Freestyle Skiing","Aerials","stříbro","CHN","Nannan XU","186.97"
"792","1998","Freestyle Skiing","Aerials","bronz","SUI","Colette BRAND","171.83"
"793","1998","Figure Skating","Individual","zlato","RUS","Ilia KULIK","1.5"
"794","1998","Figure Skating","Individual","stříbro","CAN","Elvis STOJKO","4.0"
"795","1998","Figure Skating","Individual","bronz","FRA","Philippe CANDELORO","4.5"
"796","1998","Figure Skating","Individual","zlato","USA","Tara LIPINSKI","2.0"
"797","1998","Figure Skating","Individual","stříbro","USA","Michelle KWAN","2.5"
"798","1998","Figure Skating","Individual","bronz","CHN","Lu CHEN","5.0"
"799","1998","Figure Skating","Pairs","zlato","RUS","Oksana KAZAKOVA
Artur DMITRIYEV","1.5"
"800","1998","Figure Skating","Pairs","stříbro","RUS","Anton SIKHARULIDZE
Elena BEREZHNAYA","3.5"
"801","1998","Figure Skating","Pairs","bronz","GER","Mandy WOTZEL
Ingo STEUER","4.0"
"802","1998","Figure Skating","Ice Dancing","zlato","RUS","Pasha GRISCHUK
Evgeny PLATOV","2.0"
"803","1998","Figure Skating","Ice Dancing","stříbro","RUS","Anjelika KRYLOVA
Oleg OVSYANNIKOV","4.0"
"804","1998","Figure Skating","Ice Dancing","bronz","FRA","Marina ANISSINA
Gwendal PEIZERAT","7.0"
